"z","area","volume","area.km2","volume.km3"
5.60832,1797006315.6576,6502009307.3645,1797.0063156576,6.50200930736451
5.54736,1796731090.4016,6392471999.16475,1796.7310904016,6.39247199916475
5.4864,1796425207.1424,6282952110.74626,1796.4252071424,6.28295211074626
5.42544,1796049182.088,6173453123.25159,1796.049182088,6.17345312325159
5.36448,1795569337.8864,6063979810.88772,1795.5693378864,6.06397981088772
5.30352,1794929003.6832,5954540248.79266,1794.9290036832,5.95454024879266
5.24256,1794049908.6672,5845147184.52663,1794.0499086672,5.84514718452663
5.1816,1792901394.8352,5735815634.17276,1792.9013948352,5.73581563417276
5.12064,1791609578.064,5626558925.04255,1791.609578064,5.62655892504256
5.05968,1790063903.736,5517387695.2375,1790.063903736,5.51738769523751
4.99872,1788090410.9088,5408322332.15538,1788.0904109088,5.40832233215538
4.93776,1785583886.8896,5299394009.3831,1785.5838868896,5.2993940093831
4.8768,1782590783.1984,5190632391.29861,1782.5907831984,5.19063239129861
4.81584,1778962454.9712,5082071884.27829,1778.9624549712,5.0820718842783
4.75488,1774212090.2784,4973763705.53226,1774.2120902784,4.97376370553226
4.69392,1768130192.7648,4865786771.30671,1768.1301927648,4.86578677130671
4.63296,1760782723.5888,4758214969.14292,1760.7827235888,4.75821496914292
4.572,1751291749.0224,4651155101.7401,1751.2917490224,4.6511551017401
4.51104,1738251413.8128,4544766952.01914,1738.2514138128,4.54476695201914
4.45008,1719809231.3424,4439341516.03794,1719.8092313424,4.43934151603794
4.38912,1697240295.8352,4335171140.70894,1697.2402958352,4.33517114070894
4.32816,1671128270.64,4232484980.4212,1671.12827064,4.2324849804212
4.2672,1641475478.3328,4131500420.48367,1641.4754783328,4.13150042048367
4.20624,1610072392.752,4032390447.62709,1610.072392752,4.03239044762709
4.14528,1579353538.0608,3935189147.55594,1579.3535380608,3.93518914755594
4.08432,1552221669.744,3839764654.40804,1552.221669744,3.83976465440804
4.02336,1530137455.848,3745830596.67469,1530.137455848,3.74583059667469
3.9624,1509902476.9632,3653180137.83266,1509.9024769632,3.65318013783266
3.90144,1492205144.616,3561687005.81019,1492.205144616,3.56168700581019
3.84048,1476789510.9312,3471201289.91191,1476.7895109312,3.47120128991191
3.77952,1463165280.1152,3381597711.93486,1463.1652801152,3.38159771193487
3.71856,1450054106.3376,3292804462.05019,1450.0541063376,3.29280446205019
3.6576,1437727963.248,3204786332.42693,1437.727963248,3.20478633242693
3.59664,1425384168.5808,3117518255.31879,1425.3841685808,3.11751825531879
3.53568,1413241044.48,3030997014.65473,1413.24104448,3.03099701465473
3.47472,1401210797.5728,2945212676.23986,1401.2107975728,2.94521267623986
3.41376,1389392369.5968,2860155493.51369,1389.3923695968,2.86015549351369
3.3528,1377793425.0528,2775813231.77706,1377.7934250528,2.77581323177706
3.29184,1365893242.4016,2692180907.27342,1365.8932424016,2.69218090727342
3.23088,1353611692.7712,2609293795.58952,1353.6116927712,2.60929379558952
3.16992,1342054322.3376,2527133160.22123,1342.0543223376,2.52713316022123
3.10896,1330866241.488,2445664312.92979,1330.866241488,2.44566431292979
3.048,1319665850.9856,2364876183.14002,1319.6658509856,2.36487618314002
2.98704,1308497744.2896,2284771138.79906,1308.4977442896,2.28477113879906
2.92608,1296310026.7296,2205362830.06874,1296.3100267296,2.20536283006874
2.86512,1280215039.5648,2126822773.40648,1280.2150395648,2.12682277340648
2.80416,1261438870.6656,2049309432.39292,1261.4388706656,2.04930943239292
2.7432,1226396076.2352,1973586667.1731,1226.3960762352,1.9735866671731
2.68224,1210330818.0432,1899335540.78607,1210.3308180432,1.89933554078607
