"z","area.km2","volume.km3"
5.66928,117.93003084,6.61156260572955
5.60832,117.91380024,6.50200930736451
5.54736,117.89574084,6.39247199916475
5.4864,117.87566976,6.28295211074626
5.42544,117.8509962,6.17345312325159
5.36448,117.81951036,6.06397981088772
5.30352,117.77749368,5.95454024879266
5.24256,117.71981028,5.84514718452663
5.1816,117.64444848,5.73581563417276
5.12064,117.5596836,5.62655892504256
5.05968,117.4582614,5.51738769523751
4.99872,117.32876712,5.40832233215538
4.93776,117.16429704,5.2993940093831
4.8768,116.96789916,5.19063239129861
4.81584,116.72981988,5.0820718842783
4.75488,116.41811616,4.97376370553226
4.69392,116.01904152,4.86578677130671
4.63296,115.53692412,4.75821496914292
4.572,114.91415676,4.6511551017401
4.51104,114.05849172,4.54476695201914
4.45008,112.84837476,4.43934151603794
4.38912,111.36747348,4.33517114070894
4.32816,109.654086,4.2324849804212
4.2672,107.70836472,4.13150042048367
4.20624,105.6477948,4.03239044762709
4.14528,103.63212192,3.93518914755594
4.08432,101.8518156,3.83976465440804
4.02336,100.4027202,3.74583059667469
3.9624,99.07496568,3.65318013783266
3.90144,97.9137234,3.56168700581019
3.84048,96.90219888,3.47120128991191
3.77952,96.00822048,3.38159771193487
3.71856,95.14790724,3.29280446205019
3.6576,94.3391052,3.20478633242693
3.59664,93.52914492,3.11751825531879
3.53568,92.732352,3.03099701465473
3.47472,91.94296572,2.94521267623986
3.41376,91.16747832,2.86015549351369
3.3528,90.40639272,2.77581323177706
3.29184,89.62554084,2.69218090727342
3.23088,88.81966488,2.60929379558952
3.16992,88.06130724,2.52713316022123
3.10896,87.3271812,2.44566431292979
3.048,86.59224744,2.36487618314002
2.98704,85.85943204,2.28477113879906
2.92608,85.05971304,2.20536283006874
2.86512,84.00361152,2.12682277340648
2.80416,82.77157944,2.04930943239292
2.7432,80.47218348,1.9735866671731
2.68224,79.41803268,1.89933554078607
